R,G,B
77,47,0
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
76,48,1
75,47,0
75,47,0
75,47,0
78,48,1
78,48,1
78,48,1
78,48,1
79,49,0
79,49,0
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
79,49,0
79,49,0
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
76,46,0
76,46,0
77,47,0
77,47,0
77,47,0
78,48,1
79,49,0
79,49,0
77,47,0
76,46,0
77,47,0
78,48,1
79,49,2
78,48,1
76,45,0
76,45,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
76,46,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
76,46,0
77,47,0
77,47,0
77,47,0
78,48,1
79,49,2
77,47,0
78,48,1
77,47,0
78,48,1
78,48,1
77,47,0
76,46,0
76,46,0
76,46,0
76,46,0
77,47,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
77,46,1
77,46,1
78,47,2
77,46,1
77,46,1
77,46,1
77,47,0
77,47,0
76,46,0
76,46,0
76,45,0
77,46,1
77,46,1
78,47,2
80,47,2
80,47,2
79,46,1
78,45,0
76,43,0
78,45,0
79,46,1
80,47,2
78,47,2
77,46,1
76,45,0
76,45,0
79,46,0
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
79,46,0
81,48,2
80,47,1
80,47,1
80,47,1
79,46,0
78,45,0
79,46,0
80,47,1
79,46,1
79,46,1
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
79,46,1
79,46,0
78,45,0
78,45,0
79,46,0
80,47,1
79,46,0
78,45,0
78,45,0
76,46,0
76,46,0
76,46,0
76,46,0
77,47,0
77,47,0
79,46,0
79,46,0
79,46,0
79,46,0
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
80,48,0
81,49,0
81,49,0
81,49,0
78,48,0
77,47,0
80,47,1
80,47,1
81,47,1
80,46,0
80,46,0
80,46,0
79,46,0
78,48,1
78,48,1
78,48,1
78,48,1
79,49,2
82,49,3
82,49,3
80,50,1
80,50,1
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
78,48,1
79,49,2
79,49,2
78,48,1
76,48,1
75,47,0
74,46,0
75,47,0
78,48,1
78,48,1
79,49,2
79,49,2
79,49,0
79,49,0
78,48,1
78,48,1
77,47,0
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
79,49,2
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
79,49,2
79,49,2
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
79,49,0
79,49,0
80,50,3
80,50,3
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
76,46,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
79,49,0
80,50,1
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
77,46,1
76,45,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
76,46,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
77,47,0
77,47,0
78,48,1
77,47,0
77,47,0
77,47,0
76,46,0
77,47,0
77,47,0
77,47,0
78,48,1
79,49,2
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
77,47,0
75,45,0
75,45,0
76,46,0
76,46,0
77,47,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
77,46,1
77,46,1
77,46,1
77,46,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
76,45,0
77,46,1
77,46,1
77,46,1
79,46,1
79,46,1
78,45,0
78,45,0
77,44,0
78,45,0
79,46,1
79,46,1
77,46,1
77,46,1
76,45,0
76,45,0
80,47,1
80,48,0
80,48,0
80,48,0
80,48,0
80,48,0
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
79,46,0
79,46,0
79,46,0
80,47,1
79,46,1
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
79,46,0
79,46,0
78,45,0
79,46,0
80,47,1
80,47,1
79,46,0
79,46,0
79,46,0
77,47,0
76,46,0
76,46,0
76,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
80,47,1
81,47,1
81,47,1
81,47,1
81,47,1
80,46,0
80,46,0
80,46,0
80,46,0
79,46,0
80,47,1
80,47,1
80,47,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,0
79,49,0
79,49,0
79,49,0
78,48,0
77,47,0
79,47,0
80,48,0
81,47,1
80,46,0
80,46,0
80,46,0
79,46,0
80,47,1
78,48,1
78,48,1
78,48,1
79,49,2
81,48,2
81,48,2
80,50,1
79,49,0
79,49,0
78,48,0
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
78,48,1
78,48,1
76,48,1
76,48,1
75,47,0
75,47,0
75,47,0
75,47,0
76,48,1
76,48,1
78,48,1
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
79,49,2
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
79,49,2
78,48,1
78,48,1
77,47,0
77,47,0
78,48,0
79,49,0
79,49,0
79,49,0
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
78,48,1
79,49,2
79,49,2
78,48,1
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
77,46,1
76,45,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
77,47,0
77,47,0
77,47,0
76,46,0
77,47,0
77,47,0
77,47,0
78,48,1
79,49,2
77,47,0
77,46,1
76,45,0
77,46,1
78,47,2
77,46,1
75,44,0
75,45,0
76,46,0
76,46,0
77,47,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
77,46,1
76,45,0
76,46,0
76,46,0
77,47,0
77,47,0
77,47,0
76,46,0
77,46,1
77,46,1
77,46,1
77,46,1
79,46,1
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
79,46,1
79,46,1
77,46,1
77,46,1
77,46,1
77,47,0
80,47,1
80,48,0
80,48,0
79,47,0
79,47,0
80,48,0
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
79,46,0
78,45,0
79,46,0
79,46,1
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
79,46,0
79,46,0
79,46,0
79,46,0
80,47,1
80,47,1
80,47,1
79,46,0
79,46,0
77,47,0
77,47,0
76,46,0
77,47,0
79,46,0
79,46,0
79,46,0
79,46,0
80,47,1
79,46,0
79,46,0
79,46,0
80,46,0
80,46,0
80,46,0
80,46,0
80,46,0
80,46,0
80,46,0
81,47,1
80,47,1
80,47,1
79,46,0
79,46,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,0
78,48,0
78,48,0
78,48,0
77,47,0
79,47,0
80,48,0
81,47,1
80,46,0
80,46,0
80,46,0
79,46,0
80,47,1
78,48,1
78,48,1
78,48,1
78,48,1
81,48,2
81,48,2
79,49,0
79,49,0
78,48,0
78,48,0
79,49,2
78,48,1
78,48,1
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
79,49,2
77,47,0
77,47,0
78,48,1
78,48,1
76,48,1
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
77,47,0
78,48,1
78,48,1
78,48,1
79,49,2
79,49,2
78,48,1
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
76,46,0
77,47,0
77,47,0
78,48,1
78,48,1
79,49,2
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
79,49,2
78,48,1
77,47,0
77,47,0
78,48,0
79,49,0
79,49,0
79,49,0
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
79,49,2
77,47,0
76,46,0
76,46,0
77,47,0
77,47,0
76,46,0
76,45,0
75,44,0
76,46,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
76,46,0
77,47,0
77,47,0
76,46,0
77,47,0
78,48,1
76,46,0
77,46,1
76,45,0
77,46,1
78,47,2
77,46,1
75,44,0
75,45,0
76,46,0
76,46,0
77,47,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
77,46,1
76,45,0
76,46,0
76,46,0
77,47,0
77,47,0
77,47,0
77,47,0
78,47,2
77,46,1
77,46,1
76,45,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
77,46,1
77,46,1
78,47,2
78,48,1
80,47,1
80,48,0
79,47,0
79,47,0
79,47,0
80,48,0
80,47,1
80,47,1
81,48,2
81,48,2
81,48,2
80,47,1
80,47,1
80,47,1
79,46,0
77,44,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
80,47,1
80,47,1
81,48,2
80,47,1
79,46,0
77,47,0
77,47,0
77,47,0
77,47,0
79,46,0
79,46,0
79,46,0
79,46,0
80,47,1
79,46,0
79,45,0
79,45,0
80,46,0
80,46,0
79,45,0
80,46,0
80,46,0
81,47,1
81,47,1
81,47,1
80,47,1
80,47,1
79,46,0
79,46,0
77,47,0
77,47,0
76,46,0
77,47,0
78,48,0
79,49,0
78,48,0
78,48,0
77,47,0
77,47,0
79,47,0
80,48,0
81,47,1
82,46,0
80,46,0
80,46,0
79,46,0
80,47,1
78,48,1
78,48,1
78,48,1
79,49,2
81,48,2
81,48,2
79,49,0
79,49,0
78,48,0
78,48,0
78,48,1
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
77,47,0
76,46,0
75,47,0
75,47,0
76,48,1
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
76,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
80,50,3
79,49,2
79,49,2
79,49,2
79,49,2
79,49,0
79,49,0
79,49,0
79,49,0
79,49,2
79,49,2
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
79,49,2
78,48,1
76,46,0
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
75,44,0
74,43,0
76,46,0
76,46,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
77,47,0
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
76,46,0
76,46,0
76,46,0
76,46,0
77,47,0
77,47,0
77,46,1
77,46,1
77,46,1
77,46,1
77,46,1
76,45,0
75,45,0
75,45,0
76,46,0
76,46,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,46,0
76,46,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,46,1
76,45,0
76,45,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
77,46,1
77,46,1
77,46,1
78,48,1
80,47,1
80,48,0
79,47,0
79,47,0
79,47,0
80,48,0
80,47,1
80,47,1
81,48,2
81,48,2
80,47,1
80,47,1
80,47,1
80,47,1
79,46,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
80,47,1
80,47,1
80,47,1
80,47,1
79,46,0
77,47,0
77,47,0
77,47,0
77,47,0
79,46,0
79,46,0
79,46,0
80,47,1
80,47,1
79,46,0
79,45,0
80,46,0
80,46,0
80,46,0
80,46,0
80,46,0
80,46,0
81,47,1
81,47,1
81,47,1
80,47,1
80,47,1
79,46,0
79,46,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,0
79,49,0
78,48,0
78,48,0
77,47,0
77,47,0
79,47,0
80,48,0
83,47,1
82,46,0
80,46,0
80,46,0
80,46,0
80,47,1
78,48,1
78,48,1
78,48,1
79,49,2
81,48,2
81,48,2
79,49,0
79,49,0
78,48,0
78,48,0
78,48,1
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
75,47,0
76,48,1
76,48,1
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
76,48,1
78,48,1
78,48,1
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
79,49,2
79,49,2
79,49,0
79,49,0
79,49,0
79,49,0
79,49,2
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
79,49,2
78,48,1
76,46,0
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
75,44,0
75,44,0
76,46,0
76,46,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
77,47,0
77,47,0
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
76,46,0
76,46,0
76,46,0
77,47,0
77,47,0
77,46,1
77,46,1
77,46,1
77,46,1
77,46,1
76,45,0
75,45,0
76,46,0
76,46,0
76,46,0
76,46,0
76,46,0
77,47,0
77,47,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,45,0
76,46,0
76,46,0
77,47,0
77,47,0
77,47,0
76,46,0
77,47,0
77,47,0
76,46,0
76,46,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
78,45,0
79,46,0
77,47,0
77,47,0
77,47,0
77,47,0
80,47,1
79,46,0
79,46,0
79,46,0
79,46,0
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
79,46,0
79,46,0
80,47,1
80,47,1
79,46,0
78,45,0
78,45,0
78,45,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
80,47,1
80,47,1
80,47,1
80,47,1
79,46,0
77,47,0
77,47,0
77,47,0
77,47,0
79,46,0
79,46,0
80,47,1
80,47,1
80,47,1
79,46,0
79,45,0
80,46,0
80,46,0
80,46,0
80,46,0
80,46,0
79,46,0
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,0
81,49,0
81,49,0
81,49,0
80,48,0
78,48,0
77,47,0
80,48,0
80,48,0
83,47,1
82,46,0
82,46,0
80,46,0
80,46,0
80,47,1
78,48,1
78,48,1
78,48,1
79,49,2
79,49,2
79,49,2
79,49,0
79,49,0
78,48,0
78,48,0
78,48,1
79,49,2
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
76,48,1
75,47,0
75,47,0
75,47,0
76,48,1
75,47,0
75,47,0
75,47,0
77,47,0
78,48,1
78,48,1
79,49,2
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
79,49,2
79,49,2
79,49,0
79,49,0
79,49,0
79,49,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
79,49,2
78,48,1
76,46,0
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
79,49,2
79,49,0
79,49,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
76,45,0
76,45,0
76,46,0
76,46,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
76,46,0
76,45,0
76,45,0
77,46,1
77,46,1
77,47,0
76,46,0
76,46,0
77,47,0
77,47,0
76,46,0
76,46,0
76,46,0
76,46,0
77,47,0
76,46,0
77,47,0
77,47,0
77,47,0
77,46,1
76,45,0
76,45,0
75,44,0
75,44,0
75,44,0
75,45,0
76,46,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
79,46,0
79,46,0
79,46,0
79,46,0
78,45,0
79,46,0
79,46,0
79,46,0
77,47,0
77,47,0
77,47,0
77,47,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
79,46,0
79,46,0
80,47,1
79,46,0
78,45,0
78,45,0
78,45,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
79,46,0
80,47,1
80,47,1
79,46,0
79,46,0
77,47,0
77,47,0
77,47,0
77,47,0
79,46,0
80,47,1
80,47,1
80,47,1
80,47,1
79,46,0
80,46,0
80,46,0
80,46,0
80,46,0
80,46,0
81,47,1
79,46,0
80,47,1
80,47,1
80,47,1
80,47,1
80,47,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,0
81,49,0
81,49,0
81,49,0
80,48,0
78,48,0
77,47,0
80,48,0
81,49,0
82,48,2
83,47,1
82,46,0
83,47,1
80,46,0
80,47,1
80,47,1
78,48,1
78,48,1
79,49,2
79,49,2
79,49,2
79,49,0
79,49,0
78,48,0
78,48,0
78,48,1
79,49,2
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
76,48,1
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
77,47,0
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
79,49,2
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
79,49,2
79,49,2
79,49,0
79,49,0
79,49,0
79,49,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
79,49,2
78,48,1
77,47,0
76,46,0
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
79,49,0
79,49,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,45,0
76,45,0
76,46,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
76,46,0
76,46,0
76,45,0
76,45,0
76,45,0
77,46,1
77,47,0
76,46,0
76,46,0
77,47,0
77,47,0
76,46,0
76,46,0
77,47,0
76,46,0
77,47,0
76,46,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
76,46,0
75,44,0
75,44,0
75,44,0
76,45,0
77,47,0
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
76,46,0
76,46,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
80,47,1
80,47,1
80,47,1
79,46,0
80,46,0
80,46,0
80,46,0
80,46,0
80,46,0
81,47,1
80,47,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,0
81,49,0
81,49,0
80,48,0
80,48,0
77,47,0
77,47,0
80,48,0
81,49,0
82,49,0
81,48,0
83,47,1
83,47,1
80,46,0
80,47,1
81,48,2
78,48,1
78,48,1
78,48,1
79,49,0
79,49,0
79,49,0
79,49,0
78,48,0
78,48,0
78,48,0
79,49,0
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
78,48,1
76,48,1
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
77,47,0
78,48,1
78,48,1
79,49,2
80,50,3
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
79,49,2
79,49,0
78,48,0
78,48,1
78,48,1
77,47,0
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
76,46,0
77,47,0
78,48,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
80,48,0
80,48,0
80,48,0
80,48,0
80,47,1
80,47,1
78,48,1
78,48,1
77,47,0
76,46,0
76,46,0
76,46,0
76,45,0
76,45,0
76,45,0
76,45,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
76,46,0
75,44,0
75,44,0
75,44,0
75,44,0
76,46,0
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
76,46,0
76,46,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
80,47,1
80,47,1
79,46,0
79,46,0
80,46,0
80,46,0
80,46,0
80,46,0
80,46,0
80,47,1
80,47,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
78,48,0
78,48,0
80,48,0
80,48,0
80,48,0
78,48,0
77,47,0
75,48,0
80,48,0
81,49,0
82,49,0
81,48,0
83,47,1
83,47,1
81,47,1
81,48,2
81,48,2
78,48,1
78,48,1
78,48,1
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
78,48,0
79,49,0
79,49,0
79,49,2
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
79,49,2
78,48,1
77,47,0
77,47,0
78,48,1
76,48,1
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
75,47,0
76,48,1
78,48,1
78,48,1
78,48,1
79,49,2
80,50,3
79,49,2
79,49,2
78,48,1
78,48,1
78,48,1
78,48,1
79,49,2
79,49,2
79,49,2
79,49,2
78,48,1
78,48,1
79,49,2
79,49,2
79,49,2
79,49,0
78,48,0
78,48,1
78,48,1
78,48,1
77,47,0
78,48,1
79,49,2
79,49,2
79,49,2
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
79,49,0
78,48,1
78,48,1
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
78,48,1
77,47,0
76,46,0
77,47,0
78,48,0
78,48,0
79,49,0
79,49,0
79,49,0
79,49,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
77,47,0
78,48,1
78,48,1
